offer,reason
30,"In this one-round game, I want to ensure a fair offer while keeping a substantial amount for myself. I will propose a modest amount to the other player to encourage acceptance."
30,"I want to strike a balance between keeping a significant amount for myself and offering enough to the other player to make my proposal appealing, avoiding conflict and ensuring a good outcome."
30,"In this one-round game, I want to ensure a fair offer while keeping a substantial amount for myself. I will propose a modest amount to the other player to encourage acceptance."
30,"I want to maximize my own share while still offering a fair amount to the other player to encourage potential acceptance, even though they do not have the right to reject. A reasonable offer that leaves me with a good amount is 70 dollars for myself and 30 dollars for the other player."
30,"I want to maximize my own share while still offering a fair amount to the other player to encourage potential acceptance, even though they do not have the right to reject. A reasonable offer that leaves me with a good amount is 70 dollars for myself and 30 dollars for the other player."
30,"I want to maximize my own share while still offering a fair amount to the other player to encourage potential acceptance, even though they do not have the right to reject. A reasonable offer that leaves me with a good amount is 70 dollars for myself and 30 dollars for the other player."
30,I want to keep a significant portion for myself while still offering a reasonable amount to the other player to ensure a higher likelihood of acceptance.
30,"I want to maximize my own share while still offering a fair amount to the other player to encourage potential acceptance, even though they do not have the right to reject. A reasonable offer that leaves me with a good amount is 70 dollars for myself and 30 dollars for the other player."
30,"In this one-round game, I want to ensure a fair offer while keeping a substantial amount for myself. I will propose a modest amount to the other player to encourage acceptance."
30,I want to keep a significant portion for myself while still offering a reasonable amount to the other player to ensure a higher likelihood of acceptance.
30,"I want to maximize my own share while still offering a fair amount to the other player to encourage potential acceptance, even though they do not have the right to reject. A reasonable offer that leaves me with a good amount is 70 dollars for myself and 30 dollars for the other player."
30,"I want to propose an offer that maximizes my gain while still ensuring it seems fair enough for the responder to consider accepting it. Offering them a moderate amount may encourage acceptance, while keeping a larger amount for myself is beneficial."
30,"In this one-round game, I want to ensure a fair offer while keeping a substantial amount for myself. I will propose a modest amount to the other player to encourage acceptance."
30,I want to keep a significant portion for myself while still offering a decent amount to the other player to ensure a higher likelihood of acceptance.
30,"In this one-round game, I want to ensure a fair offer while keeping a substantial amount for myself. I will propose a modest amount to the other player to encourage acceptance."
30,I want to keep a significant portion for myself while still offering a reasonable amount to the other player to ensure a higher likelihood of acceptance.
30,"I want to maximize my own share while still offering a fair amount to the other player to encourage potential acceptance, even though they do not have the right to reject. A reasonable offer that leaves me with a good amount is 70 dollars for myself and 30 dollars for the other player."
30,I want to create a fair and generous offer to maximize the chance of acceptance while still benefiting myself.
30,"In this one-round game, I want to ensure a fair offer while keeping a substantial amount for myself. I will propose a modest amount to the other player to encourage acceptance."
30,"I want to make an offer that is fair while still allowing me to keep a substantial amount for myself, ensuring a mutual benefit."
30,I want to keep a significant amount for myself while still offering a fair amount to the other player to make it reasonable enough for potential acceptance.
30,"I want to maximize my own share while still offering a fair amount to the other player to encourage potential acceptance, even though they do not have the right to reject. A reasonable offer that leaves me with a good amount is 70 dollars for myself and 30 dollars for the other player."
30,"In this one-round game, I want to ensure a fair offer while keeping a substantial amount for myself. I will propose a modest amount to the other player to encourage acceptance."
40,"I want to make a fair offer that the other player would likely accept while still securing a significant amount for myself. Offering 40 dollars to the other player seems reasonable and gives me 60 dollars, which I believe is a good balance."
30,I aim to maximize my own gain while still offering a fair amount to the other player to increase the likelihood of acceptance.
30,"In this one-round game, I want to ensure a fair offer while keeping a substantial amount for myself. I will propose a modest amount to the other player to encourage acceptance."
30,I want to keep a significant portion for myself while still offering a reasonable amount to the other player to ensure a higher likelihood of acceptance.
30,I want to keep a significant portion for myself while still offering a decent amount to the other player to ensure a higher likelihood of acceptance.
30,"I want to maximize my own share while still offering a fair amount to the other player to encourage potential acceptance, even though they do not have the right to reject. A reasonable offer that leaves me with a good amount is 70 dollars for myself and 30 dollars for the other player."
40,I want to make a fair offer that is likely to be accepted while still keeping a significant portion for myself. Offering 40 dollars to the other player while keeping 60 for myself strikes a balance between generosity and self-interest.
40,I want to propose a fair amount that is incentivizing for the other player while still allowing me to keep a reasonable portion for myself. I believe that offering 40 dollars to the other player and keeping 60 dollars for myself strikes a good balance.
20,"I want to keep a majority of the money while still offering the other player a reasonable amount that may be perceived as fair. By offering 20 dollars, I keep 80 for myself, which is a substantial amount and might encourage the other player to accept."
20,"Since I benefit regardless of the responder's choice, I want to make a somewhat fair offer to ensure the responder feels moderately satisfied, which could foster goodwill."
30,I want to keep a significant portion for myself while still offering a reasonable amount to the other player to ensure a higher likelihood of acceptance.
30,I want to keep a significant portion for myself while still offering a reasonable amount to the other player to ensure a higher likelihood of acceptance.
30,I want to keep a significant portion for myself while still offering a reasonable amount to the other player to ensure a higher likelihood of acceptance.
30,"I want to maximize my own share while still offering a fair amount to the other player to encourage potential acceptance, even though they do not have the right to reject. A reasonable offer that leaves me with a good amount is 70 dollars for myself and 30 dollars for the other player."
30,"In this one-round game, I want to ensure a fair offer while keeping a substantial amount for myself. I will propose a modest amount to the other player to encourage acceptance."
30,"I want to maximize my own share while still offering a fair amount to the other player to encourage potential acceptance, even though they do not have the right to reject. A reasonable offer that leaves me with a good amount is 70 dollars for myself and 30 dollars for the other player."
30,"In this one-round game, I want to ensure a fair offer while keeping a substantial amount for myself. I will propose a modest amount to the other player to encourage acceptance."
30,"I want to maximize my own share while still offering a fair amount to the other player to encourage potential acceptance, even though they do not have the right to reject. A reasonable offer that leaves me with a good amount is 70 dollars for myself and 30 dollars for the other player."
40,"I want to make my offer fair enough to encourage acceptance, while still keeping a decent amount for myself. Offering 40 dollars to the other player seems reasonable, as it shows generosity without being too stingy."
30,"In this one-round game, I want to ensure a fair offer while keeping a substantial amount for myself. I will propose a modest amount to the other player to encourage acceptance."
30,"In this one-round game, I want to ensure a fair offer while keeping a substantial amount for myself. I will propose a modest amount to the other player to encourage acceptance."
20,"Since I benefit regardless of the responder's choice, I want to make a somewhat fair offer to ensure the responder feels moderately satisfied, which could foster goodwill."
30,I want to keep a majority for myself while still offering a fair amount to encourage acceptance.
