offer,reason
20,I want to maximize my payoff while still offering a reasonable amount to the other player to encourage acceptance of my proposal. Offering a small amount increases my own gain but risks rejection. I will offer a fair division that I believe the responder will likely accept.
20,"To maximize my payoff while still offering the responder a reasonable amount that they might accept, I will propose to keep a larger portion for myself but give them enough to incentivize acceptance."
30,"I want to maximize my amount while still offering a reasonable split that the responder is likely to accept. Offering $30 to the responder should still be attractive enough for them to accept, as they would receive some money rather than nothing if they reject."
30,"To maximize my payoff while still making an attractive offer to the other player, I will offer them a reasonable amount that encourages acceptance, while keeping the majority for myself."
30,"I want to maximize my amount while still offering a reasonable split that the responder is likely to accept. Offering $30 to the responder should still be attractive enough for them to accept, as they would receive some money rather than nothing if they reject."
30,"I want to maximize my amount while still offering a reasonable split that the responder is likely to accept. Offering $30 to the responder should still be attractive enough for them to accept, as they would receive some money rather than nothing if they reject."
30,"To maximize my payoff while still making an attractive offer to the other player, I will offer them a reasonable amount that encourages acceptance, while keeping the majority for myself."
20,"To maximize my payoff while still making an offer that is likely to be accepted, I will retain a significant majority of the sum while still offering a reasonable amount to the other player to incentivize acceptance."
30,"To maximize my payoff while still offering a reasonable amount to incentivize acceptance from the responder, I will keep 70 dollars for myself and offer 30 dollars to the other player. This is a decent split that is likely to be accepted, given that it provides the responder with a significant sum compared to a low or zero offer."
30,"To maximize my payoff while still making an attractive offer, I will keep a substantial amount for myself but also offer a fair portion to the other player to increase the likelihood of acceptance. A proposal that offers 30 dollars to the other player is a decent amount that shows willingness to share, while I maximize my share."
30,"I want to maximize my amount while still offering a reasonable split that the responder is likely to accept. Offering $30 to the responder should still be attractive enough for them to accept, as they would receive some money rather than nothing if they reject."
30,"To maximize my own payoff while still offering an acceptable amount to the other player, I will keep 70 dollars and offer 30 dollars, which is a substantial share for them and likely to be accepted."
30,"To maximize my own payoff while still offering an acceptable amount to the other player, I will keep 70 dollars and offer 30 dollars, which is a substantial share for them and likely to be accepted."
30,"To maximize my payoff while still offering a fair amount to encourage acceptance, I will keep 70 dollars and offer 30 dollars to the other player. This split is more likely to be accepted, ensuring I still retain a significant portion of the total amount."
20,"To maximize my payoff while still making a reasonable offer that the responder is likely to accept, I will keep a significant portion for myself but leave enough for the other player to feel that the offer is fair."
10,"To maximize my own payoff while still making a reasonable offer that the other player might accept, I will offer them a sum that is small enough to keep most for myself but still large enough to incentivize acceptance. Offering 10 dollars allows me to keep 90, which is a good balance that might still make the other player consider it fair enough to accept."
10,"To maximize my payoff while still making an offer that may be deemed fair enough for the other player to accept. I will offer them a reasonable amount that is more than 0, as a completely unfair offer may lead to rejection, despite retaining the full 100 dollars."
