offer,reason
20,"To maximize my payoff while still offering a reasonable amount to encourage acceptance, I will keep a larger portion for myself but offer enough to make it appealing for the responder to accept."
30,"To maximize my own payoff while still making the offer attractive enough for the responder to accept, I will propose to keep 70 dollars for myself and offer 30 dollars to the other player. This is a significant amount for them and increases the likelihood of acceptance."
20,"To maximize my payoff while still giving the other player a reasonable amount to incentivize acceptance, I will offer them a modest sum that is likely enough to encourage them to accept."
40,"Offering 40 dollars seems fair as it gives the other player a significant amount while still allowing me to keep 60 dollars, maximizing my payoff and increasing the likelihood of acceptance."
40,"To ensure a fair allocation that maximizes the chances of the other player accepting the offer, I will propose a division that is slightly favorable to them, while still keeping a substantial amount for myself. Offering them between 40 and 50 dollars strikes a balance between fairness and my own gain."
30,"To maximize my own payoff while still making an offer that the responder is likely to accept, I will offer a smaller amount to the other player but still enough that they might find it acceptable. Offering 30 dollars to the responder keeps me with a significant amount while also seeming fair enough to encourage acceptance."
30,"To maximize my payoff while still making an attractive offer, I propose to keep the majority of the amount but offer a fair enough sum to incentivize acceptance. I will offer the responder a substantial amount to ensure they are likely to accept."
30,"To maximize my payoff while still making an attractive offer, I propose to keep the majority of the amount but offer a fair enough sum to incentivize acceptance. I will offer the responder a substantial amount to ensure they are likely to accept."
30,"To maximize my payoff while still making an attractive offer, I propose to keep the majority of the amount but offer a fair enough sum to incentivize acceptance. I will offer the responder a substantial amount to ensure they are likely to accept."
30,"To maximize my payoff while still making an attractive offer, I propose to keep the majority of the amount but offer a fair enough sum to incentivize acceptance. I will offer the responder a substantial amount to ensure they are likely to accept."
30,"To maximize my payoff while still making an attractive offer, I propose to keep the majority of the amount but offer a fair enough sum to incentivize acceptance. I will offer the responder a substantial amount to ensure they are likely to accept."
30,"I want to make an offer that is attractive enough for the responder to accept while still maximizing my own share of the $100. Offering a sum of $30 to the responder could encourage acceptance, as they would receive a significant portion, and I would retain $70 for myself."
40,"I believe that offering a fair amount to the other player increases the likelihood of acceptance while still allowing me to retain a significant portion of the money. Offering 40 dollars seems reasonable, as it respects the responder's interests and maximizes my payoff."
30,"To maximize my payoff and increase the likelihood of acceptance, I will offer a fair split that still leaves me with a considerable amount. Offering the responder a reasonable amount should incentivize them to accept my proposal rather than risk earning nothing."
30,"To maximize my own payoff while still making an offer that the responder is likely to accept, I will offer a smaller amount to the other player but still enough that they might find it acceptable. Offering 30 dollars to the responder keeps me with a significant amount while also seeming fair enough to encourage acceptance."
30,"To maximize my own payoff while still making an offer that the responder is likely to accept, I will offer a smaller amount to the other player but still enough that they might find it acceptable. Offering 30 dollars to the responder keeps me with a significant amount while also seeming fair enough to encourage acceptance."
40,"To ensure a fair allocation that maximizes the chances of the other player accepting the offer, I will propose a division that is slightly favorable to them, while still keeping a substantial amount for myself. Offering them between 40 and 50 dollars strikes a balance between fairness and my own gain."
30,"To maximize my payoff, I need to offer an amount that is attractive enough for the responder to accept while still keeping a substantial amount for myself. Offering 30 dollars to the responder should be appealing, ensuring I keep 70 dollars."
40,"To maximize my payoff, I need to offer a reasonable amount that the other player is likely to accept while still keeping a substantial portion for myself. A common strategy is to offer slightly less than half, so I propose to keep 60 dollars."
30,"To maximize my payoff while still making an attractive offer, I propose to keep the majority of the amount but offer a fair enough sum to incentivize acceptance. I will offer the responder a substantial amount to ensure they are likely to accept."
40,"I believe that offering a fair amount to the other player increases the likelihood of acceptance while still allowing me to retain a significant portion of the money. Offering 40 dollars seems reasonable, as it respects the responder's interests and maximizes my payoff."
30,"To maximize my own payoff while still making an offer that the responder is likely to accept, I will offer a smaller amount to the other player but still enough that they might find it acceptable. Offering 30 dollars to the responder keeps me with a significant amount while also seeming fair enough to encourage acceptance."
30,I want to make a proposal that is likely to be accepted while maximizing my profit. Offering a reasonable amount to the other player will make acceptance more likely.
30,"To maximize my own payoff while still making an offer that the responder is likely to accept, I will offer a smaller amount to the other player but still enough that they might find it acceptable. Offering 30 dollars to the responder keeps me with a significant amount while also seeming fair enough to encourage acceptance."
30,"To maximize my payoff while still making an attractive offer, I propose to keep the majority of the amount but offer a fair enough sum to incentivize acceptance. I will offer the responder a substantial amount to ensure they are likely to accept."
30,"To maximize my payoff while still making an attractive offer, I propose to keep the majority of the amount but offer a fair enough sum to incentivize acceptance. I will offer the responder a substantial amount to ensure they are likely to accept."
30,"To maximize my payoff while still making an attractive offer, I propose to keep the majority of the amount but offer a fair enough sum to incentivize acceptance. I will offer the responder a substantial amount to ensure they are likely to accept."
30,"I need to make an offer that is high enough to incentivize the other player to accept, while still keeping a significant amount for myself. A common strategy is to offer a slight majority or a fair split."
20,"To maximize my payoff while still making a reasonable offer that the responder is likely to accept, I will offer a small but fair amount to the other player."
40,"In order to maximize my payoff while still making an attractive offer to ensure acceptance, I believe offering 40 dollars to the other player, while keeping 60 for myself, strikes a fair balance. This way, my offer is still sizeable enough to likely entice the responder to accept."
30,"To maximize my own payoff while still making the offer attractive enough for the responder to accept, I will propose to keep 70 dollars for myself and offer 30 dollars to the other player. This is a significant amount for them and increases the likelihood of acceptance."
30,"To maximize my own payoff while still making an offer that the responder is likely to accept, I will offer a smaller amount to the other player but still enough that they might find it acceptable. Offering 30 dollars to the responder keeps me with a significant amount while also seeming fair enough to encourage acceptance."
30,"To maximize my own payoff while still making an offer that the responder is likely to accept, I will offer a smaller amount to the other player but still enough that they might find it acceptable. Offering 30 dollars to the responder keeps me with a significant amount while also seeming fair enough to encourage acceptance."
30,"To maximize my own payoff while still making an offer that the responder is likely to accept, I will offer a smaller amount to the other player but still enough that they might find it acceptable. Offering 30 dollars to the responder keeps me with a significant amount while also seeming fair enough to encourage acceptance."
30,"I want to make an offer that is appealing enough to ensure acceptance while maximizing my own earnings. A common split that often works well is keeping 70% for myself and offering 30% to the responder, as it seems generous enough to likely be accepted."
30,"To maximize my own payoff while still making an offer that the responder is likely to accept, I will offer a smaller amount to the other player but still enough that they might find it acceptable. Offering 30 dollars to the responder keeps me with a significant amount while also seeming fair enough to encourage acceptance."
30,"To maximize my payoff while still making a reasonable offer that the responder may accept, I will keep a larger portion for myself but offer enough to incentive acceptance."
30,I want to make a proposal that is likely to be accepted while maximizing my profit. Offering a reasonable amount to the other player will make acceptance more likely.
30,"To maximize my payoff, I need to offer an amount that is attractive enough for the responder to accept while still keeping a substantial amount for myself. Offering 30 dollars to the responder should be appealing, ensuring I keep 70 dollars."
30,"To maximize my own payoff while still making an offer that the responder is likely to accept, I will offer a smaller amount to the other player but still enough that they might find it acceptable. Offering 30 dollars to the responder keeps me with a significant amount while also seeming fair enough to encourage acceptance."
40,"I believe that offering a fair amount to the other player increases the likelihood of acceptance while still allowing me to retain a significant portion of the money. Offering 40 dollars seems reasonable, as it respects the responder's interests and maximizes my payoff."
30,"To maximize my payoff while ensuring a high chance of acceptance, I will offer a modest amount to the other player while keeping a larger share for myself. Offering them 30 dollars seems fair and likely to be accepted."
40,"To ensure a fair allocation that maximizes the chances of the other player accepting the offer, I will propose a division that is slightly favorable to them, while still keeping a substantial amount for myself. Offering them between 40 and 50 dollars strikes a balance between fairness and my own gain."
40,"In order to maximize my payoff while still making an attractive offer to ensure acceptance, I believe offering 40 dollars to the other player, while keeping 60 for myself, strikes a fair balance. This way, my offer is still sizeable enough to likely entice the responder to accept."
40,"I believe that offering a fair amount to the other player increases the likelihood of acceptance while still allowing me to retain a significant portion of the money. Offering 40 dollars seems reasonable, as it respects the responder's interests and maximizes my payoff."
30,"To maximize my own payoff while still making an offer that the responder is likely to accept, I will offer a smaller amount to the other player but still enough that they might find it acceptable. Offering 30 dollars to the responder keeps me with a significant amount while also seeming fair enough to encourage acceptance."
30,"To maximize my own payoff while still making an offer that the responder is likely to accept, I will offer a smaller amount to the other player but still enough that they might find it acceptable. Offering 30 dollars to the responder keeps me with a significant amount while also seeming fair enough to encourage acceptance."
30,"To maximize my own payoff while still making an offer that the responder is likely to accept, I will offer a smaller amount to the other player but still enough that they might find it acceptable. Offering 30 dollars to the responder keeps me with a significant amount while also seeming fair enough to encourage acceptance."
30,"To maximize my payoff while still making an attractive offer, I propose to keep the majority of the amount but offer a fair enough sum to incentivize acceptance. I will offer the responder a substantial amount to ensure they are likely to accept."
30,"To maximize my own payoff while still making an offer that the responder is likely to accept, I will offer a smaller amount to the other player but still enough that they might find it acceptable. Offering 30 dollars to the responder keeps me with a significant amount while also seeming fair enough to encourage acceptance."
